Source,Target,Strength
2937854619,25320639,3
293795974,471672239,3
2941629111,26487169,3
2941629111,471672239,3
2942867199,2733816872,3
2949051936,26487169,3
2949092680,111216929,3
2949311052,466144416,4
2953201,542962969,4
2955195313,111216929,3
2955460121,471672239,3
2956321963,471672239,3
2959720859,471672239,3
2961574276,15518286,4
2961574276,16163639,7
2961955331,278658252,168
2962365465,769380097359024128,4
296367001,117207434,3
2963751519,884024311,3
2964722022,1679672113,5
2965069174,1368116144,3
296584207,16163639,7
296584207,24127811,12
296584207,358545917,4
296834171,48012011,3
2971929537,26487169,3
2975187827,14669951,3
2975906151,236487888,3
2976865088,15063486,3
2976878243,26487169,8
2977381687,26487169,4
2980775187,24127811,5
2981781891,16163639,3
2983302897,26487169,3
2984823707,358545917,3
2986089131,466144416,3
2990216342,26487169,5
299085247,15669672,3
299085247,26487169,4
2992359426,2992359426,3
29929522,4761064634,3
2993449593,2993449593,5
2996391235,24127811,4
29993565,471672239,3
2999700747,26487169,3
3006690178,26487169,4
3006690178,4761064634,4
3010341234,26487169,3
3010341234,438829074,4
301212396,2534195028,3
3015370299,550708707,4
3017705364,26487169,3
3020455940,471672239,4
302059038,2534195028,3
3021539556,26487169,3
3021798532,884024311,3
3025921727,26487169,4
30319316,24127811,3
30319316,30319316,4
30319316,358545917,3
3033978584,24127811,5
303450744,4761064634,3
3039387387,374775473,5
3040871686,26487169,4
3041208837,358545917,3
3041589551,24127811,3
3042356250,72931184,3
3044596275,26487169,4
3044596275,471672239,3
304563509,236487888,3
305120082,26487169,5
3051577197,236487888,4
30523058,16163639,6
30523058,358545917,3
3058539006,968299640,3
3060448016,148291255,7
3060448016,4761064634,3
3061797379,16163639,3
3063990535,16163639,12
3063990535,19211550,3
3063990535,2288462990,4
3063990535,24127811,7
3063990535,358545917,4
3063990535,3958327401,4
3063990535,42825230,9
30644500,26487169,3
3072356408,26487169,4
3074687216,4761064634,3
30856797,347627434,3
308767225,26487169,3
3089040558,709560846163296257,3
3091557700,535662805,3
3091954441,26487169,4
3091954441,471672239,3
3092625141,3092625141,3
309321148,358545917,3
30938516,358545917,3
3093907031,1548975014,3
3099252940,26487169,3
310083612,471672239,3
3106208237,26487169,3
3111909523,24127811,3
3112345673,358545917,3
311251169,311251169,3
31125980,3284112337,4
31125980,471672239,3
31156332,90684850,3
3119977103,734886138326847491,3
31223236,111216929,5
3122896768,471672239,3
3126563358,26487169,3
3128771203,3890933907,3
3129677565,26487169,3
31303107,3311014386,3
31303107,757029661289304064,3
313288354,449974837,3
31344647,4855687055,4
313530478,471672239,3
3140971784,111216929,4
3144928956,24127811,4
3147366720,358545917,3
31480905,93295809,3
3156705035,26487169,8
3156705035,471672239,4
3160203640,884024311,3
3161107329,14458643,3
3164585753,3164585753,3
3166178833,102862980,3
3166178833,4272870988,3
3167493495,109065990,6
3170548810,3284112337,3
3170692550,358545917,4
3171549289,109065990,3
3171738157,346046232,3
317792044,111216929,3
318003383,331057915,3
3180679291,3284112337,3
3182146801,24127811,3
3182887447,727602643221155840,4
3183459762,49698134,3
3184471478,275276082,11
3184558807,24127811,4
3184890253,26487169,3
3184890253,438829074,3
318551071,26487169,4
318694851,229141520,3
318694851,26487169,5
318721919,26487169,3
3188918976,471672239,3
3188918976,90480218,4
3189683242,358545917,3
3191404926,2534195028,3
3192506298,3192506298,16
319276183,16163639,7
319276183,779739206339928064,4
3192848121,358545917,4
3193836186,26487169,3
319637000,2534195028,3
320264267,16163639,4
320488456,438829074,5
3206763843,3914047581,3
321777822,358545917,3
3217991705,3284112337,4
3220667984,471672239,3
3221921520,109065990,3
322243662,26487169,4
322266894,56174050,3
3226586376,3284112337,3
3226586376,4236806414,3
3226951291,743600698416332800,3
323021389,111216929,3
323085742,358545917,3
3231865460,471672239,3
323337476,15463671,3
3233867732,471672239,3
3234026785,26487169,5
3234067815,722942823847170048,3
3234781559,734203266964295680,3
3237940072,4720378829,3
32389958,471672239,4
3239029664,742749379623165955,3
3239776277,111216929,6
3239853627,24127811,4
324085045,4761064634,3
3241032604,471672239,3
3241409597,2534195028,3
3242026466,471672239,3
324290289,347627434,3
324290289,471672239,3
3243767079,2534195028,3
3245332410,471672239,3
3245666764,471672239,3
3246358172,26487169,4
3247780708,471672239,3
324888907,26487169,3
32495636,26487169,3
3252669380,358545917,3
3254277065,331057915,6
3254771270,777879358451093504,5
3254982230,24127811,3
3257146604,3570697343,3
3257276071,26487169,6
325852273,26487169,3
325852273,4761064634,3
3258945304,24127811,3
3263253388,24127811,3
3264908461,309507255,3
3264908461,331376866,3
3266230939,19211550,3
3267121628,26487169,3
3267359448,26487169,3
326957730,3367987133,3
3270559782,779739206339928064,3
3276212370,471672239,3
3278831193,734886138326847491,3
3280229443,358545917,3
328266970,26487169,4
3282761569,26487169,3
3282761569,471672239,3
3283426488,111216929,4
3283629240,26487169,3
3283723057,16163639,3
3283723057,26487169,3
3284033108,459872442,3
328542104,471672239,3
3285693535,26487169,3
328576045,26487169,4
328659153,331376866,3
3286922574,26487169,4
32877719,16163639,3
3288362353,1618641848,3
3288362353,26487169,3
3290217551,109065990,3
329144723,26487169,3
3291910059,26487169,9
3294291206,111216929,3
32946026,26487169,3
3296515157,471672239,4
3296734251,199056422,5
3296734251,723121317596155904,3
3297022953,3297022953,8
3298490413,26487169,3
329872564,111216929,4
329880387,329880387,17
329939178,358545917,4
3301040332,39344374,3
3302447514,26487169,4
3303947876,761401522798333952,3
330487457,26487169,7
330487457,471672239,4
3307524787,4598517098,6
330759494,111216929,3
3308398352,236487888,4
3308915203,358545917,3
3308915203,438829074,4
3309130765,26487169,8
3309130765,471672239,3
3309295093,471672239,3
3309305760,471672239,4
3309884754,26487169,4
3309967506,721737068322271232,3
3310085629,471672239,3
331057915,192935052,3
331057915,285967672,5
